,교량명,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
1276,백암교,경기도,용인시 처인구,37.166045,127.373404,37.166244,127.373184,3.1
1277,영암교,경기도,양평군,37.6018,127.372818,37.601976,127.372472,3.0
1278,오산교,경기도,여주시,37.233027,127.556041,37.233378,127.556201,6.0
1279,원곡교,경기도,안성시,37.03763,127.124441,37.037361,127.124814,3.0
1280,동막교,경기도,용인시 처인구,37.136941,127.128016,37.137459,127.12811299999998,13.1
1281,통삼2교,경기도,용인시 처인구,37.136941,127.128016,37.137459,127.12811299999998,14.5
1282,소창교,경기도,김포시,37.72696,126.599503,37.726893,126.599614,2.0
1283,정단교,경기도,여주시,37.242816,127.559344,37.24299,127.559375,4.3
1284,단석천교,경기도,양평군,37.399741,127.716994,37.399954,127.717452,3.9
1285,두릉1교,경기도,평택시,37.053318,127.008782,37.053421,127.00919,5.0
1286,두릉2교,경기도,평택시,37.053719,127.00991,37.053754,127.010025,5.0
1287,두능교,경기도,양평군,37.544204,127.629245,37.544279,127.62929,5.3
1288,말중교,경기도,양평군,37.537528,127.624868,37.537598,127.624938,4.4
1289,망능교,경기도,양평군,37.539857,127.628448,37.539906,127.628273,4.4
1290,본두교,경기도,여주시,37.238276,127.578367,37.238357,127.57844,6.2
1291,개골천교,경기도,여주시,37.218419,127.556005,37.218516,127.556022,3.7
1292,심석천교,경기도,여주시,37.212947,127.556196,37.213027,127.556202,2.8
1293,공심이천교,경기도,여주시,37.204589,127.552481,37.204649,127.552552,3.0
1294,봉명교,경기도,평택시,37.118583,127.109828,37.118915,127.10942,3.5
1295,사후천1교,경기도,평택시,37.119038,127.109695,37.119235,127.109443,2.0
1296,사후천2교,경기도,평택시,37.120883,127.109358,37.120977,127.109581,2.0
1297,유평교,경기도,용인시 처인구,37.10941,127.126333,37.109299,127.126714,2.0
1298,은산교,경기도,평택시,37.096401,127.116195,37.096486,127.116503,5.0
1299,이평교,경기도,이천시,37.220232,127.374395,37.220409,127.374097,7.2
1300,남풍교,경기도,안성시,37.0783,127.307768,37.078467,127.307758,3.0
1301,동평교,경기도,안성시,37.088023,127.310185,37.088133,127.310198,3.0
1302,마룡교,경기도,양평군,37.496546,127.603327,37.497007,127.603638,5.0
1303,선들교,경기도,화성시,37.178504,126.798096,37.17813,126.798097,5.0
1304,송탄육교,경기도,평택시,37.092664,127.061629,37.092216,127.056938,8.0
1305,난실교,경기도,안성시,37.109882,127.221526,37.109429,127.221343,5.0
1306,자안교,경기도,화성시,37.178547,126.86883600000002,37.177739,126.869587,5.0
1307,봉산1교,경기도,안성시,37.080862,127.266101,37.080194,127.266368,5.0
1308,중동교,경기도,용인시 처인구,37.160477,127.177111,37.160646,127.177258,5.0
1309,아곡교,경기도,용인시 처인구,37.148952,127.171031,37.149126,127.17118899999998,5.0
1310,율암1교,경기도,화성시,37.17741,126.869719,37.177298,126.869995,5.0
1311,율암2교,경기도,화성시,37.17517,126.871317,37.17515,126.871348,5.0
1312,양평대교,경기도,양평군,37.509301,127.45221,37.500145,127.45278799999998,50.0
1313,연천대교,경기도,연천군,38.095472,127.080247,38.098242,127.080826,8.4
1314,가납교,경기도,양주시,37.81836,126.986161,37.818815,126.985846,4.0
1315,가양교,경기도,남양주시,37.732879,127.296216,37.733179,127.296078,5.0
1316,곡능교,경기도,양주시,37.685977,126.92441200000002,37.686739,126.925018,7.0
1317,곡릉천교,경기도,파주시,37.74514,126.78679,37.74665,126.793356,9.0
1318,군남교,경기도,연천군,38.085904,127.019665,38.086032,127.019697,3.0
1319,금곡교,경기도,파주시,37.886592,126.877679,37.886738,126.877685,2.5
1320,금동교,경기도,포천시,37.955108,127.12612,37.95506,127.126396,3.5
1321,남종교,경기도,가평군,37.904272,127.559366,37.904584,127.559499,5.1
1322,낭유교,경기도,포천시,38.005981,127.33016299999998,38.006002,127.330383,2.5
1323,내방교,경기도,남양주시,37.745168,127.280607,37.745353,127.280202,4.0
1324,내산교,경기도,연천군,38.159854,127.119638,38.15988400000001,127.120041,2.5
1325,노체교,경기도,가평군,37.875723,127.35696000000002,37.876143,127.356252,3.7
1326,대능교,경기도,파주시,37.847111,126.869366,37.847202,126.86978700000002,5.0
1327,대전교,경기도,연천군,38.007883,127.076084,38.008477,127.077309,14.0
1328,도곡교,경기도,가평군,37.672019,127.527978,37.67198,127.528048,3.0
1329,도마산교,경기도,파주시,37.801187,126.878512,37.801079,126.879081,5.2
1330,마지2교,경기도,파주시,37.94105,126.901583,37.941671,126.901281,4.0
1331,명화교,경기도,가평군,37.96928,127.45822,37.96947,127.458596,4.8
1332,문암교,경기도,포천시,37.943233,127.261623,37.943529,127.26232,5.0
1333,박달교,경기도,포천시,38.085456,127.427648,38.085843,127.427911,9.0
1334,발랑교,경기도,파주시,37.80398,126.893225,37.803929,126.893783,4.8
1335,방동교,경기도,남양주시,37.734831,127.293339,37.735152,127.293025,5.0
1336,법수교,경기도,연천군,37.98966,127.089499,37.989666,127.090108,5.0
1337,보광교,경기도,파주시,37.752662,126.914045,37.752808,126.914048,5.0
1338,봉암교,경기도,양주시,37.904228,127.009847,37.904624,127.009522,4.0
1339,북삼교,경기도,연천군,38.090662,127.005839,38.088623,127.012462,10.0
1340,북진교,경기도,파주시,37.76507700000001,126.72758600000002,37.765607,126.727038,4.0
1341,비금교,경기도,남양주시,37.753054,127.272223,37.753211,127.272343,3.0
1342,비암2교,경기도,양주시,37.806009,126.92045,37.806244,126.920649,3.8
1343,비암3교,경기도,양주시,37.810963,126.925022,37.811073,126.925248,4.4
1344,비암4교,경기도,양주시,37.811934,126.930012,37.811974,126.930224,3.6
1345,사미천교,경기도,연천군,38.002292,126.877618,38.00318,126.878505,15.0
1346,사정교,경기도,포천시,37.961151,127.12358600000002,37.96111,127.124058,5.0
1347,삼화교1,경기도,남양주시,37.607731,127.258276,37.607929,127.258529,4.0
1348,삼화교,경기도,연천군,38.023017,126.981282,38.025146,126.983443,4.1
1349,삼회교,경기도,가평군,37.665545,127.380726,37.665753,127.380718,4.5
1350,상동교,경기도,가평군,37.7965,127.328225,37.796765,127.328271,4.5
1351,새마을교,경기도,포천시,38.06857700000001,127.32553500000002,38.068786,127.32554,3.0
1352,석현교1,경기도,남양주시,37.722487,127.309298,37.722751,127.309078,2.0
1353,선원교,경기도,남양주시,37.616851,127.273033,37.616925,127.273175,4.0
1354,성황당교,경기도,가평군,37.896959,127.560734,37.897188,127.560843,7.0
1355,수동교,경기도,남양주시,37.705996,127.325277,37.70645800000001,127.325215,3.0
1356,신암검정교,경기도,양주시,37.904842,126.962645,37.905514,126.962701,6.0
