,station_code,station_name,address,etc_address,longitude,latitude,location
27,1013620,목동교,경기도 가평군,북면 목동리,127-32-54,37-52-59 ,"[37.88305555555556, 127.54833333333333]"
28,1013652,가평천,경기도 가평군,북면 개곡리,127-31-40,37-52-29 ,"[37.874722222222225, 127.52777777777777]"
29,1013655,가평군(가평교),경기도 가평군,가평읍 읍내리 가평교,127-31-05,37-49-53 ,"[37.831388888888895, 127.51805555555555]"
30,1015630,산장제1교,경기도 가평군,상면 덕현리,127-24-37,37-45-18 ,"[37.755, 127.41027777777778]"
31,1015639,청평댐,경기도 가평군,설악면 유명로 2630,127-25-28,37-43-15 ,"[37.72083333333334, 127.42444444444445]"
32,1015640,가평군(청평댐),경기도 가평군,설악면 회곡리 745-27 청평댐,127-25-21,37-43-24 ,"[37.723333333333336, 127.4225]"
33,1015644,가평군(청평교),경기도 가평군,청평면 청평리 청평교,127-24-53,37-44-02 ,"[37.73388888888889, 127.41472222222222]"
34,1015645,가평군(신청평대교),경기도 가평군,청평면 삼회리 산90 신청평대교인근,127-24-36,37-43-05 ,"[37.71805555555556, 127.41000000000001]"
35,1015680,남양주시(삼봉리),경기도 남양주시,조안면 삼봉리 235-1,127-20-21,37-35-44 ,"[37.595555555555556, 127.33916666666666]"
36,1016607,용인시(월촌교),경기도 용인시,처인구 모현면 갈담리 월촌교,127-14-21,37-19-56 ,"[37.33222222222223, 127.23916666666666]"
37,1016650,광주시(경안교),경기도 광주시,쌍령동 경안교,127-15-47,37-24-23 ,"[37.406388888888884, 127.26305555555555]"
38,1016655,경안교,경기도 광주시,오포읍 양벌리,127-15-06,37-23-33 ,"[37.3925, 127.25166666666667]"
39,1016660,광주시(섬뜰교),경기도 광주시,초월읍 도평리 섬뜰교,127-17-34,37-23-57 ,"[37.399166666666666, 127.29277777777777]"
40,1016670,광주시(서하교),경기도 광주시,초월읍 서하리 서하교,127-18-29,37-25-44 ,"[37.428888888888885, 127.30805555555555]"
41,1016695,광주시(광동교),경기도 광주시,퇴촌면 광동리 광동교,127-17-39,37-28-17 ,"[37.47138888888889, 127.29416666666667]"
42,1017678,팔당댐,경기도 남양주시,조안면 다산로 320,127-17-05,37-31-30 ,"[37.525, 127.28472222222221]"
43,1017690,남양주시(팔당댐),경기도 남양주시,조안면 능내리 팔당댐,127-17-00,37-31-38 ,"[37.52722222222222, 127.28333333333333]"
44,1018605,고안(등록문화재),경기도 남양주시 조안면,능내리 825,127-15-00,37-32-30 ,"[37.541666666666664, 127.25]"
45,1018610,남양주시(팔당대교),경기도 남양주시,와부읍 팔당리 팔당대교,127-14-21,37-32-51 ,"[37.5475, 127.23916666666666]"
46,1018611,팔당대교,경기도 남양주시 와부읍,팔당리 팔당유원지,127-14-29,37-32-40 ,"[37.544444444444444, 127.24138888888889]"
47,1018620,남양주시(부평교),경기도 남양주시,진접읍 부평리 부평교 하류 좌안,127-11-44,37-44-25 ,"[37.74027777777778, 127.19555555555556]"
48,1018623,남양주시(연평대교),경기도 남양주시,진접읍 연평리 연평대교,127-11-01,37-42-34 ,"[37.70944444444445, 127.18361111111112]"
49,1018625,남양주시(내곡교),경기도 남양주시,진접읍 내각리 내곡교 하류 좌안,127-09-53,37-41-30 ,"[37.69166666666666, 127.16472222222222]"
50,1018628,행주(등록문화재),경기도 고양시 덕양구 행주내동,78-9,126-48-38,37-35-55 ,"[37.59861111111111, 126.81055555555555]"
51,1018630,남양주시(진관교),경기도 남양주시,퇴계원면 퇴계원리 진관교,127-09-07,37-39-00 ,"[37.65, 127.15194444444445]"
52,1018635,남양주시(퇴계원리),경기도 남양주시,퇴계원면 퇴계원리 339-6,127-08-37,37-38-43 ,"[37.64527777777778, 127.14361111111111]"
53,1018638,남양주시(왕숙교),경기도 남양주시 도농동,155-7 왕숙교,127-09-00,37-36-14 ,"[37.60388888888889, 127.15]"
54,1018640,서울시(광진교),서울특별시,광진구 광장동 광진교,127-06-38,37-32-44 ,"[37.54555555555555, 127.11055555555555]"
55,1018645,자양,서울특별시 광진구 자양제1동,뚝섬유원지내 ,127-04-41,37-31-27 ,"[37.524166666666666, 127.07805555555555]"
56,1018650,성남시(궁내교),경기도 성남시,분당구 정자동 궁내교 상류 좌안,127-06-30,37-22-12 ,"[37.37, 127.10833333333333]"
57,1018655,서울시(대곡교),서울특별시,강남구 세곡동 대곡교,127-07-21,37-28-08 ,"[37.46888888888889, 127.12249999999999]"
58,1018658,서울시(대치교),서울특별시 강남구 대치동,대치교,127-04-28,37-29-53 ,"[37.49805555555556, 127.07444444444444]"
59,1018660,청담,서울특별시 강남구,청담취수장,127-03-50,37-31-10 ,"[37.519444444444446, 127.06388888888888]"
60,1018662,서울시(청담대교),서울특별시,강남구 청담동 청담대교,127-03-45,37-31-23 ,"[37.52305555555555, 127.0625]"
61,1018664,뚝도,서울특별시 성동구,성수2가 1동,127-03-00,37-32-00 ,"[37.53333333333333, 127.05]"
62,1018665,의정부시(신곡교),경기도 의정부시,의정부동 신곡교 하류 우안,127-03-12,37-44-15 ,"[37.737500000000004, 127.05333333333333]"
63,1018669,서울시(창동교),서울특별시 도봉구 창동,창동교,127-03-14,37-39-10 ,"[37.65277777777778, 127.05388888888889]"
64,1018670,서울시(월계2교),서울특별시,노원구 월계동 월계2교,127-03-00,37-37-27 ,"[37.62416666666667, 127.05]"
65,1018675,서울시(중랑교),서울특별시,중랑구 중화동 중랑교,127-04-14,37-35-33 ,"[37.5925, 127.07055555555556]"
66,1018680,서울시(잠수교),서울특별시,용산구 서빙고동 잠수교,126-59-41,37-30-58 ,"[37.51611111111111, 126.99472222222222]"
67,1018683,서울시(한강대교),서울특별시,동작구 노량진동 한강대교,126-57-24,37-30-52 ,"[37.51444444444444, 126.95666666666666]"
68,1018685,구용산,서울특별시 용산구,청암동44-1,126-57-00,37-31-00 ,"[37.516666666666666, 126.95]"
69,1018690,안양시(충훈1교),경기도 얀양시,만안구 박달동 충훈1교,126-54-11,37-24-17 ,"[37.40472222222222, 126.90305555555557]"
70,1018693,광명시(시흥대교),경기도 광명시,소화동 시흥대교,126-53-38,37-27-08 ,"[37.452222222222225, 126.8938888888889]"
71,1018695,서울시(너부대교),서울특별시,구로구 천왕동 너부대교,126-50-45,37-28-44 ,"[37.47888888888889, 126.84583333333333]"
72,1018697,서울시(오금교),서울특별시,양천구 신정동 오금교,126-52-27,37-30-30 ,"[37.50833333333333, 126.87416666666665]"
73,1019620,부천시(도두리2교),경기도 부천시,오정구 삼정동 도두리2교,126-45-38,37-31-55 ,"[37.53194444444444, 126.76055555555556]"
74,1019630,서울시(행주대교),경기도 고양시덕양구 행주외동,225-1,126-48-38,37-35-55 ,"[37.59861111111111, 126.81055555555555]"
75,1019635,아라한강갑문(내),경기도 김포시 고촌면,신곡리 193-2번지,126-47-36,37-36-08 ,"[37.602222222222224, 126.79333333333334]"
76,1019636,아라한강갑실,경기도 김포시 고촌면,신곡리 193-2번지,126-47-36,37-36-08 ,"[37.602222222222224, 126.79333333333334]"
