교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
호평교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.663221,127.246609,37.661144,127.253244,38.5
호평교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.663123,127.246579,37.661063,127.25322,38.5
호평IC교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.661,127.235327,37.66187,127.236239,20
호평IC교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.660787,127.235624,37.661609,127.236498,20
마치교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.656723,127.260854,37.655134,127.262436,6.6
마치교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 호평동,37.656627,127.261164,37.655125,127.26288,6.6
사로교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.639349,127.148537,37.639478,127.150812,4
진관IC교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.647686,127.160659,37.647975,127.160761,4.7
신월IC교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.65873,127.157483,37.659285,127.157116,4.7
임송IC교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진접읍 내곡리,37.669178,127.15371,37.669526,127.153602,4.7
임송교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 신월리,37.675551,127.164877,37.676095,127.165403,4.7
용정교,일반국도47호선,경기도,남양주시,41360,경기도 남양주시 진건읍 신월리,37.679249,127.167762,37.680213,127.16839,4.7
연평IC교,일반국도47호선,경기도,남양주시,41360,경기도 남양주시 진접읍 내각리,37.692134,127.165868,37.693305,127.165901,4.7
진관IC 1교,일반국도43호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.646509,127.159922,37.646531,127.160455,5
